Table_Name,State_Code,Distt_Code,Area_Name,Total_Rural_Urban,Age-group,Total_Persons,Total_Male,Total_Female,Total_Persons_ill,Total_Male_ill,Total_Female_ill,Total_Persons_lit,Total_Male_lit,Total_Female_lit
C2308,0,0,INDIA,Total,0-6,164515253,85752254,78762999,164515253,85752254,78762999,0,0,0
C2308,0,0,INDIA,Total,7--19,328455312,172581517,155873795,38574848,17625106,20949742,289880464,154956411,134924053
C2308,0,0,INDIA,Total,20-24,111424222,57584693,53839529,18679492,6467026,12212466,92744730,51117667,41627063
C2308,0,0,INDIA,Total,25-29,101413965,51344208,50069757,22634440,7562339,15072101,78779525,43781869,34997656
C2308,0,0,INDIA,Total,30-34,88594951,44660674,43934277,24329560,8030750,16298810,64265391,36629924,27635467
C2308,0,0,INDIA,Total,35-39,85140684,42919381,42221303,27863127,9338968,18524159,57277557,33580413,23697144
C2308,0,0,INDIA,Total,40-44,72438112,37545386,34892726,26806872,9655032,17151840,45631240,27890354,17740886
C2308,0,0,INDIA,Total,45-49,62318327,32138114,30180213,25077763,9015516,16062247,37240564,23122598,14117966
C2308,0,0,INDIA,Total,50-54,49069254,25843266,23225988,20822208,7801013,13021195,28247046,18042253,10204793
C2308,0,0,INDIA,Total,55-59,39146055,19456012,19690043,17682081,5705728,11976353,21463974,13750284,7713690
C2308,0,0,INDIA,Total,60-64,37663707,18701749,18961958,19989439,7024725,12964714,17674268,11677024,5997244
C2308,0,0,INDIA,Total,65-69,26454983,12944326,13510657,14829607,5145133,9684474,11625376,7799193,3826183
C2308,0,0,INDIA,Total,70-74,19208842,9651499,9557343,11568624,4369752,7198872,7640218,5281747,2358471
C2308,0,0,INDIA,Total,75-79,9232503,4490603,4741900,5361192,1890685,3470507,3871311,2599918,1271393
C2308,0,0,INDIA,Total,80+,11289005,5283695,6005310,6890447,2456492,4433955,4398558,2827203,1571355
C2308,0,0,INDIA,Total,Age not stated,4489802,2372881,2116921,1591212,666117,925095,2898590,1706764,1191826
