Table_Name	State_Code	Distt_Code	Area_Name	Total_Rural_Urban	Age-group	Total_Persons	Total_Male	Total_Female	Total_Persons_ill	Total_Male_ill	Total_Female_ill	Total_Persons_lit	Total_Male_lit	Total_Female_lit
C2308	0	0	INDIA	Total	0-6	164515253	85752254	78762999	164515253	85752254	78762999	0	0	0
C2308	0	0	INDIA	Total	7	24826640	12903364	11923276	6748214	3388683	3359531	18078426	9514681	8563745
C2308	0	0	INDIA	Total	8	26968373	14061937	12906436	4131414	2013742	2117672	22836959	12048195	10788764
C2308	0	0	INDIA	Total	9	23424638	12214985	11209653	2491904	1198339	1293565	20932734	11016646	9916088
C2308	0	0	INDIA	Total	10	30552107	16089436	14462671	3454505	1661124	1793381	27097602	14428312	12669290
C2308	0	0	INDIA	Total	11	24740946	12962604	11778342	1988473	929328	1059145	22752473	12033276	10719197
C2308	0	0	INDIA	Total	12	27877307	14637892	13239415	2391529	1087320	1304209	25485778	13550572	11935206
C2308	0	0	INDIA	Total	13	24280683	12563775	11716908	1810476	790923	1019553	22470207	11772852	10697355
C2308	0	0	INDIA	Total	14	25258169	13165128	12093041	2100785	920460	1180325	23157384	12244668	10912716
C2308	0	0	INDIA	Total	15	25899454	13739746	12159708	2599957	1176626	1423331	23299497	12563120	10736377
C2308	0	0	INDIA	Total	16	24592293	13027935	11564358	2512487	1110878	1401609	22079806	11917057	10162749
C2308	0	0	INDIA	Total	17	21217467	11349449	9868018	2038455	880041	1158414	19179012	10469408	8709604
C2308	0	0	INDIA	Total	18	27958147	15020851	12937296	3727975	1532188	2195787	24230172	13488663	10741509
C2308	0	0	INDIA	Total	19	20859088	10844415	10014673	2578674	935454	1643220	18280414	9908961	8371453
C2308	0	0	INDIA	Total	20-24	111424222	57584693	53839529	18679492	6467026	12212466	92744730	51117667	41627063
C2308	0	0	INDIA	Total	25-29	101413965	51344208	50069757	22634440	7562339	15072101	78779525	43781869	34997656
C2308	0	0	INDIA	Total	30-34	88594951	44660674	43934277	24329560	8030750	16298810	64265391	36629924	27635467
C2308	0	0	INDIA	Total	35-39	85140684	42919381	42221303	27863127	9338968	18524159	57277557	33580413	23697144
C2308	0	0	INDIA	Total	40-44	72438112	37545386	34892726	26806872	9655032	17151840	45631240	27890354	17740886
C2308	0	0	INDIA	Total	45-49	62318327	32138114	30180213	25077763	9015516	16062247	37240564	23122598	14117966
C2308	0	0	INDIA	Total	50-54	49069254	25843266	23225988	20822208	7801013	13021195	28247046	18042253	10204793
C2308	0	0	INDIA	Total	55-59	39146055	19456012	19690043	17682081	5705728	11976353	21463974	13750284	7713690
C2308	0	0	INDIA	Total	60-64	37663707	18701749	18961958	19989439	7024725	12964714	17674268	11677024	5997244
C2308	0	0	INDIA	Total	65-69	26454983	12944326	13510657	14829607	5145133	9684474	11625376	7799193	3826183
C2308	0	0	INDIA	Total	70-74	19208842	9651499	9557343	11568624	4369752	7198872	7640218	5281747	2358471
C2308	0	0	INDIA	Total	75-79	9232503	4490603	4741900	5361192	1890685	3470507	3871311	2599918	1271393
C2308	0	0	INDIA	Total	80+	11289005	5283695	6005310	6890447	2456492	4433955	4398558	2827203	1571355
C2308	0	0	INDIA	Total	Age not stated	4489802	2372881	2116921	1591212	666117	925095	2898590	1706764	1191826
